poetID,value,value,sourceNpv,sourceNpv,ccy,maturityDate,ttm,maID,gpName,notional
10002801,870.6510802432815,858.9526844407271,31678.9821,31518.1703,EUR,2019-07-02,4.005475,DRV-22059698-09,PRELLINGERFR,212331.3000
10014715,1901.4671837704816,1947.8689238257766,72459.3301,77332.4216,EUR,2019-03-29,3.745379,DRV-22059847-09,MOERTLAUBSTA,554000.0000
10016053,2361.526115883501,2326.754497714425,3448054.5899,3428942.0755,EUR,2019-06-11,3.947980,DRV-00003881-97,BKSOWIBLN,25000000.0000
10017487,365.4373760217409,359.96028756940683,64133.0717,63824.3108,EUR,2019-06-11,3.947980,DRV-15012783-04,ALLITBADKREU,584706.0000
10026517,163.67925662735846,171.6074006846013,16926.6707,21005.7060,CHF,2016-06-30,1.002053,DRV-22060444-09,ADVERTUMESS,479386.2636
10026548,36.7669293326967,36.920531126797215,6228.2852,9387.7632,EUR,2015-12-30,0.501026,DRV-22060446-09,ADVERTVERESS,340500.0000
10030196,873.0395973072425,856.8254077309942,1372506.5221,1365389.8840,EUR,2019-05-16,3.876796,DRV-00005223-00,BABEAMBKKARL,10000000.0000
10037642,24203.514730975025,25042.614125764925,1022059.2580,1100000.9505,EUR,2018-10-31,3.337440,DRV-22058419-09,GRRPORT45ERL,9125394.0000
10037682,1378.6635548644028,1373.9406593602987,79588.1445,79453.6344,EUR,2017-08-15,2.127310,10037682,STADTBADFRIE,738800.0000
10037752,1814.1673795557956,1877.3290320508852,62594.3789,70074.1783,EUR,2019-06-28,3.994524,10037752,STADTBADFRIE,396000.0000
10039816,282.94111239865686,278.6511997551715,412155.1319,409838.2472,EUR,2019-06-18,3.967145,DRV-15012954-00,RVHASSBERGE,3000000.0000
10040675,777.103259863981,747.4082346306311,1364830.4701,1358728.5925,EUR,2019-02-18,3.638603,DRV-20009461-99,VBBACKNANG,10000000.0000
10042082,131.373018348185,129.33672691114714,271936.5842,277704.8865,EUR,2019-10-30,4.334017,DRV-10000326-95,EVKRGENKAS,2363936.1600
10044296,880.5997093665335,876.7519248453204,34088.2576,33922.4388,EUR,2019-06-18,3.967145,DRV-22060101-09,KRATSCHBGKUP,308000.0000
10046799,862.8797611342557,840.3334610689301,1349908.1636,1342749.6206,EUR,2019-05-20,3.887748,DRV-00005223-00,BABEAMBKKARL,10000000.0000
10048012,4547.311215424887,4488.633760165318,160715.3721,159945.8723,EUR,2019-07-01,4.002737,DRV-22059944-09,KUTGERRVVMAI,1000000.0000
10048078,1623.462237597509,1602.718251806295,60119.9522,59843.3866,EUR,2019-07-01,4.002737,DRV-22059944-09,KUTGERRVVMAI,429000.0000
10049009,204.53854222236342,222.46338282094004,18451.9565,23665.6441,EUR,2017-03-31,1.752224,DRV-22020812-06,VERWDETMMUE,630000.0000
10049407,2063.8041203257612,2104.819118254491,74518.1216,79095.8651,EUR,2019-06-28,3.994524,DRV-22060283-09,ODENWBAUMOER,500000.0000
10049701,1238.283745963036,1262.8927795062,44710.9266,47457.5609,EUR,2019-06-28,3.994524,DRV-22060270-09,ODENWBAUMER,300000.0000
