Country;Airport;Code;Pax 2011;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Pax 2012;vly
Albania;Tirana;TIA;1 817 073; 144 599; 97 871; 118 722; 127 083; 122 242; 137 492; 174 767; 200 973; 153 348; 130 603; 121 274; 136 357;1 665 331;-8,4%
Armenia;Yerevan;EVN;1 595 471; 109 867; 91 013; 102 010; 126 595; 133 009; 153 839; 186 649; 205 444; 162 852; 150 588; 129 786; 136 383;1 688 035;5,8%
Austria;Graz;GRZ; 976 543; 54 006; 62 313; 72 656; 74 852; 85 226; 98 725; 104 953; 96 385; 99 095; 77 049; 59 676; 45 681; 930 617;-4,7%
Austria;Innsbruck;INN; 997 067; 131 461; 147 856; 156 864; 58 943; 47 438; 60 293;60 655;58 412;58 839; 36 998; 31 528; 81 567; 930 850;-6,6%
Austria;Klagenfurt;KLU; 375 307; 25 537; 24 089; 26 489; 20 571; 24 822; 24 364; 26 096; 24 768; 24 671; 21 919; 16 763; 18 961; 279 050;-25,6%
Austria;Linz;LNZ; 679 372; 33 196; 35 255; 40 276; 48 112; 59 028; 78 458; 79 821; 77 902; 72 012; 45 590; 31 827; 21 829; 623 306;-8,3%
Austria;Salzburg;SZG;1 700 983; 208 640; 208 022; 198 189; 100 895; 108 083; 130 182; 134 128; 142 465; 133 227; 98 037; 78 126; 126 493;1 666 487;-2,0%
Austria;Vienna;VIE;21 106 292;1 397 711;1 387 505;1 700 590;1 889 786;1 985 053;2 062 155;2 192 715;2 138 588;2 173 656;1 990 243;1 658 971;1 588 821;22 165 794;5,0%
Belarus;Minsk;MSQ;;;;;;;;;;;;;;  0;
Belgium;Antwerp;ANR; 105 466; 7 420; 8 583; 8 824; 6 870; 6 914; 6 395; 5 978; 6 076; 6 472; 6 962; 8 187; 6 127; 84 808;-19,6%
Belgium;Brussels Charleroi;CRL;5 901 007; 371 536; 394 276; 460 711; 592 704; 606 272; 573 901; 699 037; 701 236; 611 117; 601 247; 455 660; 446 686;6 514 383;10,4%
Belgium;Brussels;BRU;18 786 034;1 154 894;1 177 420;1 425 683;1 613 667;1 707 452;1 784 488;2 054 609;1 930 954;1 888 193;1 647 453;1 351 111;1 235 408;18 971 332;1,0%
Belgium;Liege;LGG; 305 281; 9 140; 10 903; 16 689; 17 010; 24 450;; 52 598;;; 18 294; 12 811; 10 041; 300 813;-1,5%
Bosnia & Herzegovina;Sarajevo;SJJ; 599 978; 33 247; 26 278; 36 765; 49 709; 55 107; 62 491; 69 346; 60 787; 60 323; 52 115; 38 612; 35 278; 580 058;-3,3%
Bulgaria;Bourgas;BOJ;2 253 320; 21 043; 18 698; 17 990; 19 856; 87 163; 433 875; 708 887; 687 926; 329 284; 30 710; 12 046; 13 068;2 380 546;5,6%
Bulgaria;Sofia;SOF;3 474 993; 264 225; 237 600; 273 463; 291 272; 311 394; 316 774; 335 292; 336 422; 322 690; 285 216; 234 168; 258 939;3 467 455;-0,2%
Bulgaria;Varna;VAR;1 181 832;  0;  67; 14 862; 26 182; 63 002; 227 553; 329 398; 315 417; 168 605; 36 147; 21 657; 18 578;1 221 468;3,4%
Croatia;Dubrovnik;DBV;1 349 501; 17 843; 15 721; 26 864; 84 775; 154 387; 206 576; 279 368; 279 793; 231 418; 134 462; 29 342; 19 921;1 480 470;9,7%
Croatia;Pula;PUY; 352 829;1 030; 774;2 796;12 058;27 141;66 997;87 056;88 009;63 179;15 866;1 512;1 027; 367 445;4,1%
Croatia;Split;SPU;1 300 381; 25 182; 20 956; 28 782; 63 887; 125 853; 206 988; 293 026; 290 069; 224 335; 87 638; 28 348; 30 160;1 425 224;9,6%
Croatia;Zadar;ZAD; 284 980; 2 275; 1 352; 6 107; 27 459; 38 430; 50 637; 75 821; 72 771; 57 907; 32 307; 3 672; 2 518; 371 256;30,3%
Croatia;Zagreb;ZAG;2 320 098; 132 155; 118 113; 155 672; 189 877; 215 546; 237 629; 260 420; 260 809; 244 506; 216 544; 165 277; 145 761;2 342 309;1,0%
Cyprus;Larnaca;LCA;5 507 762; 218 752; 199 949; 251 323; 393 149; 451 369; 595 553; 702 226; 735 743; 616 387; 534 380; 254 448; 212 945;5 166 224;-6,2%
Cyprus;Paphos;PFO;1 778 898; 49 688; 59 138; 81 485; 175 727; 253 871; 267 321; 296 228; 310 173; 301 715; 279 238; 104 382; 63 831;2 242 797;26,1%
Czech Republic;Brno;BRQ; 557 952; 34 297; 53 818; 23 043; 27 353; 29 653; 69 871; 93 288; 94 214; 76 012; 30 887; 19 151; 17 678; 569 265;2,0%
Czech Republic;Prague;PRG;11 788 629; 641 073; 607 265; 787 358; 884 887; 931 666;1 073 443;1 184 447;1 201 725;1 140 651; 932 870; 720 762; 701 743;10 807 890;-8,3%
Denmark;Aalborg;AAL;1 391 860; 100 232; 100 771; 115 351; 97 095; 113 258; 123 670; 112 714; 113 456; 130 043; 122 006; 110 468; 89 280;1 328 344;-4,6%
Denmark;Aarhus;AAR; 588 225; 34 264; 34 227; 42 771; 46 774; 44 198; 43 631; 41 856; 39 855; 46 737; 49 792; 49 792; 26 287; 500 184;-15,0%
Denmark;Billund;BLL;2 710 516; 164 413; 169 499; 201 699; 209 355; 223 796; 266 663; 357 948; 290 115; 273 626; 258 000; 168 404; 151 289;2 734 807;0,9%
Denmark;Copenhagen;CPH;22 725 517;1 582 496;1 621 373;1 904 759;1 919 884;2 017 128;2 223 862;2 313 542;2 143 341;2 122 883;2 101 931;1 799 408;1 585 580;23 336 187;2,7%
Estonia;Tallinn;TLL;1 913 172; 133 493; 126 054; 163 783; 192 027; 215 679; 225 565; 228 287; 223 815; 208 506; 202 930; 150 973; 135 178;2 206 290;15,3%
Finland;All airports;;19 088 239;1 500 863;1 523 598;1 763 261;1 639 892;1 639 276;1 723 220;1 601 549;1 600 792;1 635 167;1 642 840;1 418 338;1 485 620;19 174 416;0,5%
Finland;Helsinki;HEL;14 865 871;1 132 964;1 147 037;1 323 392;1 243 130;1 266 534;1 366 103;1 327 771;1 287 526;1 275 503;1 276 420;1 111 501;1 097 721;14 855 602;-0,1%
Finland;Ivalo;IVL; 125 535; 15 549; 18 342; 24 511; 12 222; 3 080; 6 235; 8 099; 6 142; 8 590; 3 392; 7 902; 31 391; 145 455;15,9%
Finland;Joensuu;JOE; 117 114; 11 549; 13 894; 13 990; 13 620; 14 365; 10 700; 7 003; 9 394; 13 931; 15 600; 13 307; 8 817; 146 170;24,8%
Finland;Kittila;KTT; 238 538; 41 884; 41 872; 54 024; 31 340; 1 913; 1 778; 1 365; 2 389; 8 386; 2 278; 12 291; 63 822; 263 342;10,4%
Finland;Kuopio;KUO; 284 405; 23 727; 25 858; 28 649; 25 587; 26 306; 22 048; 9 971; 18 884; 25 649; 30 135; 27 196; 18 890; 282 900;-0,5%
Finland;Lappeenranta;LPP; 116 267; 8 785; 7 498; 9 650; 9 272; 7 829; 8 593; 9 356; 8 568; 8 124; 8 847; 3 483; 3 757; 93 762;-19,4%
Finland;Oulu;OUL; 973 912; 90 664; 91 543; 101 045; 91 514; 106 071; 100 056; 74 228; 85 007; 95 898; 93 852; 80 954; 62 590;1 073 422;10,2%
Finland;Rovaniemi;RVN; 396 825; 40 127; 37 258; 38 343; 24 830; 25 147; 30 906; 27 528; 27 219; 26 842; 26 920; 27 773; 70 647; 403 540;1,7%
Finland;Tampere;TMP; 657 630; 33 098; 33 023; 42 840; 57 851; 57 312; 58 877; 57 610; 55 829; 54 696; 57 088; 33 633; 28 882; 570 739;-13,2%
Finland;Turku;TKU; 377 533; 27 561; 28 962; 35 259; 45 798; 46 613; 49 245; 40 806; 41 805; 42 234; 43 865; 28 694; 23 086; 453 928;20,2%
Finland;Vaasa;VAA; 338 499; 28 092; 29 759; 34 269; 34 113; 38 374; 33 555; 20 155; 27 461; 35 161; 38 638; 30 552; 23 428; 373 557;10,4%
France;Ajaccio;AJA;1 175 706; 50 176; 49 453; 55 561; 94 238; 115 201; 136 825; 172 643; 193 400; 148 294; 81 665; 60 060; 61 189;1 218 705;3,6%
France;Bastia;BIA;1 025 346; 49 607; 44 036; 52 798; 74 659; 89 371; 102 898; 136 149; 148 836; 112 658; 75 378; 57 681; 59 555;1 003 626;-2,1%
France;Bergerac;EGC; 288 999;1 340;;4 003;23 503;25 669;32 883;41 519;46 478;31 575;25 855;9 222;6 346; 248 393;-14,1%
